157151162439968251018681572144959080544,96233165882300781066336604175414015767,67,70,68,72,63,65,63,61,73,63,65,
287906198975064069923642513524243635831,52451816062125625142823375492063726679,70,67,62,64,60,64,66,65,66,67,68,
23607497276841927554120727218023360905,180905400478153430870001107205471288549,63,71,69,62,60,64,63,65,53,76,63,
65621096950979256479471797756775105265,107564527233857689580805573446446389875,61,73,58,58,63,57,67,63,58,68,63,
126059989097228443525611376250647124859,13672814604612364422275758953938576549,67,66,79,62,53,65,60,70,68,64,70,
337868960153866410804752761836428010210,133503563088676125760364112833059764614,61,72,72,60,60,64,61,55,63,64,65,
44397705161665475284027804212994726806,25439812627310916811344480668096838309,72,59,63,62,59,63,63,65,69,70,62,
17312908620027768604844801311603558891,49762620838443749592807745473432997107,69,64,66,70,65,59,53,53,54,62,74,
299965653967384203631193878077669681881,258558819532852006099227315270102277926,58,68,60,56,74,62,65,67,66,64,65,
158132642004613192624502967647523930212,149555613465340655463750933186464884494,70,63,67,65,60,61,64,64,64,62,59,
303542460680013864142949792380567714790,256646646654035971249518688011293111751,67,69,66,68,61,63,68,71,58,69,64,
23604091956532378705678405654253311182,257665139102979902783086768924875050056,60,68,68,72,54,60,75,66,68,63,67,
296382348028958036170553233883852892945,87361318614844050707620596196463514633,65,49,70,68,54,57,70,61,62,63,59,
192373198020835672844419425816899704117,104660689376143785788698474651232806469,75,67,60,62,62,64,61,68,65,70,68,
55768317419456172697146069089976394453,280846035749545504717302470626819655298,66,70,67,65,65,66,58,75,62,55,69,
160753040586598686393557172401864836173,76873314053042544750341682982851230855,63,66,68,63,66,69,64,65,64,65,62,
154160475719432136588290720561663235740,102531418302445963525655472569952760187,64,68,66,66,66,60,67,64,72,65,69,
9179558489473512307447112015990179486,206567730589156066137118463773635600132,75,58,64,52,70,66,67,67,55,68,65,
56346566516230311648312981172773627776,35806998655003686132790951884216749868,63,61,55,65,63,60,64,67,56,49,67,
132130633381878893455060529951766183880,75170346032558149193906775089644815605,62,58,57,49,69,59,71,59,56,69,70,
